state_abb,state_name,contributor,population_2022,avg_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr,,,,,,,,,,,,,
AL,Alabama,Amilcar Armmand,"5,073,903.00","78,639.09","50,647.13",Montgomery,,,,,,1819,,,,,,,,,,,,,
AK,Alaska,Amilcar Armmand,"733,276.00","105,162.63","571,022.38",Juneau,,,,,,1959,,,,,,,,,,,,,
AZ,Arizona,Amilcar Armmand,"7,365,684.00","100,890.13","113,653.42",Phoenix,,,,,,1912,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,
CA,California,Miaowei,"39,240,000","84,376","155,812,000",Sacramento,"276,670,000,000",,,,,,,,,,,,,,,,,,
CO,Colorado,Miaowei,"5,812,000","117,508","103,601,000",Denver,"385,830,000,000",,,,,,,,,,,,,,,,,,
CT,Connecticut,Miaowei,"3,606,000","130,601","5,018,000",Hartford,"276,670,000,000",,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,
GA,,,,,,,,,,,,,,,,,,,,,,,,,
HI,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,,,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,,,,,,,,,,,,,,,,,,,,,,,,
KS,Kansas,Cristian Sayers,"2,937,150","$93,221",,,,,,,,,,,,,,,,,,,,,
KY,Kentucky,Cristian Sayers,"4,511,563",,,,,,,,,,,,,,,,,,,,,,
LA,Louisiana,Cristian Sayers,"4,588,023",,"43,210.23",,,,,,,,,,,,,,,,,,,,
ME,Maine,Mohammad Atohmoshli,"1,354,200","56,000","35,385",Augusta,"65,000,000,000",4.2,Tourism,Agriculture,Manufacturing,1820,,,,,,,,,,,,,
MD,Maryland,Mohammad Atohmoshli,"6,177,600","78,500","12,406",Annapolis,"405,000,000,000",3.8,Aerospace,Biotechnology,Services,1788,,,,,,,,,,,,,
MA,Massachusetts,Mohammad Atohmoshli,"7,033,500","72,800","10,565",Boston,"600,000,000,000",3.5,Technology,Healthcare,Finance,1788,,,,,,,,,,,,,
MI,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,
NE,Nebraska,Connor Broderick,"1,967,000","95,547","76,796",Lincoln,"161,702,000,000",2.7,Manufacturing,Agriculture,Finance,1867,,,,,,,,,,,,,
NV,Nevada,Connor Broderick,"3,178,000","72,330","109,831",Carson City,"187,230,000,000",5.5,Real Estate,Accommodation and Food Services,Healthcare,1864,,,,,,,,,,,,,
